14 21 -- 91 -- -- -- -- -- -- -- -- -- -- -- 14
-- 13 51 -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- 13 11 -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- 11 11 --
16 bb -- -- -- -- -- -- -- -- -- -- 21 -- 22 --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- 12 21 -- 11 -- -- -- -- -- -- -- -- -- -- 13
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- 11 24 --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- 22 -- -- -- -- -- -- -- --
-- mm -- 21 -- -- -- -- -- -- -- ^1 ^1 ^1 -- --
53 -- -- -- -- -- -- 23 -- ^1 ^1 53 -- -- -- --
-- -- -- -- -- ^1 ^1 -- -- 22 -- -- -- -- -- --
-- -- -- -- -- 21 -- -- -- -- -- -- -- -- -- --

912.0,96.0 816.0,144.0 1008.0,96.0 1008.0,96.0 1152.0,192.0 1008.0,96.0 1008.0,96.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 912.0,144.0 - - - 960.0,96.0
1008.0,96.0 912.0,96.0 816.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 912.0,144.0 1200.0,96.0 - 1152.0,96.0 1200.0,96.0 - - - - 960.0,96.0
1008.0,96.0 1008.0,96.0 912.0,96.0 768.0,96.0 768.0,48.0 1152.0,96.0 1152.0,144.0 - - 1248.0,96.0 - - - - 1392.0,144.0 960.0,96.0
864.0,144.0 864.0,144.0 912.0,144.0 1152.0,96.0 1152.0,96.0 1152.0,96.0 1200.0,96.0 - - - - - 1488.0,144.0 768.0,96.0 768.0,96.0 960.0,96.0
912.0,96.0 1152.0,96.0 1152.0,96.0 1152.0,144.0 1152.0,96.0 1200.0,96.0 1248.0,144.0 1152.0,96.0 1200.0,144.0 - - - 960.0,144.0 1008.0,144.0 864.0,96.0 1008.0,96.0
1056.0,96.0 1152.0,96.0 1152.0,96.0 1152.0,96.0 1152.0,96.0 768.0,48.0 1152.0,96.0 1200.0,96.0 - - - - - - 816.0,144.0 1008.0,96.0
1008.0,96.0 864.0,96.0 1008.0,144.0 1008.0,144.0 1056.0,144.0 1152.0,96.0 1152.0,96.0 - - - - - - 1248.0,144.0 1152.0,96.0 960.0,96.0
1008.0,96.0 912.0,144.0 1152.0,144.0 1152.0,96.0 1152.0,96.0 1200.0,96.0 - - - - - - - 1152.0,96.0 1152.0,144.0 960.0,96.0
1056.0,96.0 768.0,0.0 768.0,0.0 1248.0,96.0 1152.0,96.0 - - - - 1248.0,144.0 1152.0,96.0 1248.0,144.0 1152.0,96.0 1152.0,96.0 1152.0,96.0 960.0,96.0
912.0,144.0 - - 768.0,0.0 1152.0,96.0 1104.0,288.0 1152.0,240.0 - - 1152.0,96.0 768.0,48.0 1152.0,96.0 1152.0,96.0 960.0,144.0 864.0,96.0 1008.0,96.0
- - 768.0,0.0 1248.0,144.0 1152.0,96.0 1152.0,96.0 1152.0,144.0 1440.0,144.0 1248.0,144.0 1152.0,96.0 1152.0,96.0 1152.0,96.0 1152.0,144.0 1152.0,96.0 960.0,96.0 1008.0,96.0
- - - 1152.0,96.0 1152.0,144.0 1152.0,96.0 1152.0,96.0 816.0,96.0 912.0,96.0 1152.0,96.0 - - 1248.0,96.0 1152.0,96.0 960.0,96.0 1008.0,96.0
- - 1248.0,144.0 816.0,96.0 912.0,96.0 1152.0,96.0 1248.0,96.0 816.0,144.0 912.0,144.0 1200.0,96.0 - - - - 960.0,96.0 1008.0,96.0
864.0,96.0 864.0,96.0 864.0,96.0 1008.0,96.0 1056.0,96.0 1200.0,96.0 - 816.0,96.0 912.0,96.0 - - 816.0,96.0 864.0,96.0 864.0,96.0 1008.0,96.0 1008.0,96.0
1008.0,96.0 1152.0,192.0 1008.0,96.0 1008.0,96.0 1056.0,96.0 - - 960.0,96.0 1008.0,96.0 864.0,96.0 864.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1152.0,192.0 1008.0,96.0
1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 864.0,96.0 864.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0
