22 -- -- -- -- -- 32 -- -- 71 -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
12 >1 -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- I61 -- -- -- -- -- I51 -- -- -- -- ^1 -- -- rr
43 -- -- -- 34 -- -- 62 -- -- -- -- -- >1 -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- >1 -- --
-- -- -- -- -- -- -- -- -- -- -- -- 11 >1 -- rr
43 -- -- -- -- -- -- rr -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
16 mm 21 -- rr -- -- -- -- -- -- -- -- -- -- --
-- dd -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --

1008.0,96.0 1056.0,96.0 - 1248.0,96.0 1152.0,96.0 1152.0,144.0 960.0,96.0 1008.0,96.0 1008.0,96.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0
1008.0,96.0 912.0,144.0 - - - 1248.0,96.0 816.0,144.0 864.0,144.0 912.0,144.0 - - 1200.0,96.0 - - 1152.0,144.0 1200.0,96.0
1056.0,96.0 - - - - - - - - - - - - - 1248.0,96.0 -
1056.0,96.0 864.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 912.0,336.0 960.0,336.0 768.0,0.0 - - -
1008.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 864.0,96.0 912.0,96.0 - - -
1008.0,96.0 1152.0,192.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 1056.0,96.0 - - -
864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 1008.0,96.0 1152.0,192.0 1056.0,96.0 1152.0,96.0 1200.0,96.0 - 1248.0,96.0 768.0,48.0 1104.0,144.0 - - -
864.0,96.0 864.0,96.0 864.0,96.0 912.0,96.0 816.0,144.0 864.0,144.0 912.0,144.0 - - - 1152.0,288.0 1200.0,96.0 - - - -
1008.0,96.0 1008.0,96.0 1152.0,192.0 1056.0,96.0 1152.0,144.0 1152.0,96.0 1248.0,96.0 - - - 1248.0,96.0 - - - - -
1008.0,96.0 864.0,144.0 1008.0,96.0 1056.0,96.0 1200.0,96.0 - - - - - - 1248.0,144.0 - - - -
1056.0,96.0 - 816.0,144.0 912.0,144.0 - - - - - - - 1152.0,96.0 1200.0,144.0 - - -
1056.0,96.0 - - - - - - - 1200.0,144.0 - - 1152.0,144.0 1152.0,96.0 - - -
1056.0,96.0 - - - - - - - 1152.0,96.0 - - 1152.0,96.0 1152.0,96.0 1200.0,96.0 - -
1056.0,96.0 1200.0,144.0 - - - - - 1248.0,144.0 1152.0,96.0 1200.0,96.0 - 1152.0,96.0 1152.0,96.0 - - -
1056.0,96.0 1152.0,96.0 1200.0,96.0 - - - - 1152.0,96.0 1152.0,144.0 - 1248.0,144.0 1152.0,96.0 768.0,48.0 - - -
1056.0,96.0 1152.0,144.0 1200.0,144.0 - - - - 1152.0,96.0 1152.0,96.0 - 1152.0,96.0 1152.0,96.0 1152.0,96.0 1200.0,144.0 - -
