54 -- -- -- -- 13 42 -- -- -- 23 -- 21 -- >1 --
-- -- -- -- -- -- -- -- -- -- -- -- v1 v1 -- --
-- -- -- -- -- -- v1 v1 v1 v1 -- -- -- -- -- --
-- -- -- -- -- >1 -- -- -- -- <1 18 -- -- -- --
21 -- 31 -- -- >1 -- -- -- -- <1 -- -- -- -- --
54 -- -- -- -- >1 -- -- -- -- <1 -- -- -- -- --
-- -- -- -- -- >1 -- -- ^1 -- <1 -- >1 -- -- --
-- -- -- -- -- >1 -- <1 18 -- <1 -- >1 -- -- --
-- -- -- -- -- >1 rr <1 -- -- <1 -- -- -- -- --
v1 v1 v1 v1 11 >1 -- <1 -- -- <1 -- rr -- -- --
-- -- -- -- -- -- -- <1 -- -- <1 -- -- -- -- --
-- -- -- -- -- -- -- <1 -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- <1 -- -- -- -- -- -- -- --
-- -- -- -- -- -- -- <1 -- -- -- -- -- -- -- --
mm -- -- -- -- -- -- <1 -- -- -- -- -- -- -- --
11 -- -- -- -- -- -- -- -- -- -- -- -- -- -- --

1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1152.0,192.0 1008.0,96.0 864.0,144.0 912.0,144.0 - 1152.0,96.0
1008.0,96.0 1008.0,96.0 1008.0,96.0 1152.0,192.0 1008.0,96.0 1008.0,96.0 864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 1008.0,96.0 1056.0,96.0 - - - 1152.0,144.0
1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 912.0,144.0 768.0,0.0 768.0,0.0 - - 816.0,144.0 912.0,144.0 - - - 1152.0,96.0
864.0,144.0 864.0,144.0 1008.0,96.0 1008.0,96.0 1056.0,96.0 - - - - - - 1104.0,96.0 - - 1248.0,144.0 1152.0,96.0
864.0,96.0 912.0,96.0 816.0,144.0 864.0,144.0 912.0,144.0 - - - - - - 768.0,144.0 1152.0,96.0 1200.0,144.0 - 1248.0,96.0
1008.0,96.0 1008.0,96.0 864.0,96.0 864.0,96.0 912.0,96.0 - - - - - - 768.0,144.0 1200.0,96.0 - - -
1008.0,96.0 1008.0,96.0 1152.0,192.0 1008.0,96.0 1056.0,96.0 - - - - - - 768.0,144.0 - - - -
1008.0,96.0 1008.0,96.0 1008.0,96.0 1008.0,96.0 1056.0,96.0 - - - 1104.0,96.0 - - 768.0,144.0 - - - -
864.0,144.0 864.0,144.0 864.0,144.0 864.0,144.0 1056.0,96.0 - - - 768.0,144.0 - - 768.0,144.0 - - - -
- - - - 1104.0,144.0 - - - 768.0,144.0 1200.0,144.0 - 768.0,144.0 - - - -
- - - 1248.0,144.0 1152.0,96.0 - - - 768.0,144.0 1152.0,96.0 - 1104.0,144.0 - - - -
- - - 768.0,48.0 1152.0,144.0 1200.0,96.0 - - 768.0,144.0 1152.0,96.0 1152.0,96.0 1152.0,96.0 - - - -
- - - - 1152.0,96.0 - - - 768.0,144.0 1152.0,96.0 1152.0,144.0 1200.0,96.0 - - - -
- - - 1152.0,288.0 1152.0,96.0 1104.0,288.0 - - 768.0,144.0 - 1248.0,96.0 1152.0,96.0 1104.0,288.0 - - -
- - 1248.0,144.0 1152.0,96.0 1152.0,96.0 1200.0,96.0 - - 1104.0,144.0 - - 1152.0,144.0 1200.0,96.0 - - -
912.0,96.0 - 768.0,48.0 1152.0,96.0 1152.0,96.0 - - - 1152.0,144.0 - - 1152.0,96.0 768.0,48.0 - - -
